Names,Psychometrics Score,Presentation Score,Date,Location
BETTY LAMLIN,72.0,75.0,2019-07-10,London Academy
QUILL TOMPKINSON,66.0,53.12,2019-07-10,London Academy
SHAUN DOWLEY,58.0,68.75,2019-07-10,London Academy
OSWALD LYNDON,57.0,50.0,2019-07-10,London Academy
STANWOOD HEIMANN,49.0,71.88,2019-07-10,London Academy
RUTHIE KINVIG,44.0,62.5,2019-07-10,London Academy
ALISON TETT,53.0,56.25,2019-07-10,London Academy
CARE OATTES,49.0,68.75,2019-07-10,London Academy
URIEL EIDELMAN,50.0,65.62,2019-07-10,London Academy
DRAKE NORTHCOTE,53.0,84.38,2019-07-10,London Academy
KAREL TOULAMAIN,51.0,50.0,2019-07-10,London Academy
ZELDA PRESTAGE,55.0,56.25,2019-07-10,London Academy
JUDON HENZE,58.0,68.75,2019-07-10,London Academy
MIGUELITA SMEDLEY,62.0,53.12,2019-07-10,London Academy
WEYLIN COMOLLI,50.0,78.12,2019-07-10,London Academy
DALORIS COTESFORD,60.0,68.75,2019-07-10,London Academy
SALIM SARRA,53.0,59.38,2019-07-10,London Academy
JOB RESTALL,60.0,65.62,2019-07-10,London Academy
THORIN ESKRIET,57.0,53.12,2019-07-10,London Academy
VIVIENNE BLAKELOCK,60.0,68.75,2019-07-10,London Academy
RANDIE KLIMASHEVICH,56.0,65.62,2019-07-10,London Academy
MAJE VALLIS,62.0,68.75,2019-07-10,London Academy
FREDDIE SAMBER,71.0,81.25,2019-07-10,London Academy
RAMSEY DIVALL,51.0,59.38,2019-10-10,Birmingham Academy
CLINT DRAPER,37.0,50.0,2019-10-10,Birmingham Academy
DRUCIE BIANCO,53.0,71.88,2019-10-10,Birmingham Academy
POWELL WANK,68.0,53.12,2019-10-10,Birmingham Academy
TONYE HEARL,63.0,65.62,2019-10-10,Birmingham Academy
GARDENER BOUNDEY,49.0,43.75,2019-10-10,Birmingham Academy
CLIFF KNOWLTON,57.0,59.38,2019-10-10,Birmingham Academy
LEW BARTLOMIECZAK,63.0,71.88,2019-10-10,Birmingham Academy
BARTHOLOMEO KEATLEY,54.0,59.38,2019-10-10,Birmingham Academy
ADEL KINRADE,56.0,50.0,2019-10-10,Birmingham Academy
PARRNELL WROE,59.0,46.88,2019-10-10,Birmingham Academy
ALEXIS ADESS,57.0,59.38,2019-10-10,Birmingham Academy
PAULY REBBECK,63.0,56.25,2019-10-10,Birmingham Academy
MALVIN PENRITH,61.0,71.88,2019-10-10,Birmingham Academy
NARIKO ROBELIN,44.0,59.38,2019-10-10,Birmingham Academy
WALLIE PECHA,51.0,68.75,2019-10-10,Birmingham Academy
MEREDITH CRAUFURD,50.0,43.75,2019-10-10,Birmingham Academy
BOBINE ADVANI,55.0,53.12,2019-10-10,Birmingham Academy
TOINETTE HALLUT,58.0,62.5,2019-10-10,Birmingham Academy
ALEKSANDR LEAN,47.0,68.75,2019-10-10,Birmingham Academy
BARNIE JERSH,59.0,68.75,2019-10-10,Birmingham Academy
PETERUS WRAITH,49.0,34.38,2019-10-10,Birmingham Academy
BAN CRAZE,38.0,75.0,2019-10-10,Birmingham Academy
CHRISY KESEY,58.0,46.88,2019-10-10,Birmingham Academy
BINNIE CAPNERHURST,53.0,43.75,2019-10-10,Birmingham Academy
AMMAMARIA TASSELL,57.0,62.5,2019-10-10,Birmingham Academy
KAROLINA COMINI,66.0,40.62,2019-10-10,Birmingham Academy
LORALIE EXROLL,53.0,62.5,2019-10-10,Birmingham Academy
BEBE GUYONNEAU,42.0,56.25,2019-10-10,Birmingham Academy
HOBARD GAYNES,67.0,71.88,2019-10-10,Birmingham Academy
LORALYN DIBBS,46.0,56.25,2019-09-10,London Academy
MARSHA COULTER,60.0,68.75,2019-09-10,London Academy
NORENE DERICUT,60.0,71.88,2019-09-10,London Academy
DALE FEWLASS,52.0,68.75,2019-09-10,London Academy
WILFRED GODWYN,57.0,53.12,2019-09-10,London Academy
IRVINE HARMSON,55.0,71.88,2019-09-10,London Academy
LEYLA THREADGOLD,54.0,56.25,2019-09-10,London Academy
ETHELRED CARTMAN,52.0,75.0,2019-09-10,London Academy
BALDWIN MACBEY,56.0,75.0,2019-09-10,London Academy
TORRENCE LANEGRAN,62.0,62.5,2019-09-10,London Academy
ANGIE LANGER,41.0,65.62,2019-09-10,London Academy
PATRIC GOULT,68.0,68.75,2019-09-10,London Academy
JENNINE ERNI,56.0,81.25,2019-09-10,London Academy
RODERIC DAGGER,45.0,68.75,2019-09-10,London Academy
GLYNNIS WICKEN,50.0,81.25,2019-09-10,London Academy
STEPHINE KIRTON,63.0,59.38,2019-09-10,London Academy
CARROLL TREASADEN,54.0,65.62,2019-09-10,London Academy
RIVA MANGEOT,53.0,71.88,2019-09-10,London Academy
LILIAS MC GORLEY,50.0,53.12,2019-09-10,London Academy
GARRARD KEWARD,64.0,87.5,2019-09-10,London Academy
COLLIN COMMINS,52.0,68.75,2019-09-10,London Academy
BERTHA BURCHFIELD,55.0,56.25,2019-09-10,London Academy
STILLMANN QUALTROUGH,63.0,28.12,2019-09-10,London Academy
IGNATIUS DOXSEY,60.0,71.88,2019-09-10,London Academy
JO-ANN GALLIHAULK,62.0,62.5,2019-09-10,London Academy
MARK BECKINGHAM,63.0,87.5,2019-09-10,London Academy
MERIDEL RANDELL,62.0,71.88,2019-04-11,Birmingham Academy
ISACCO BOICHAT,57.0,59.38,2019-04-11,Birmingham Academy
VALENKA JIRSA,63.0,56.25,2019-04-11,Birmingham Academy
SULLIVAN PESKIN,45.0,75.0,2019-04-11,Birmingham Academy
THEOBALD RAWLES,66.0,50.0,2019-04-11,Birmingham Academy
HUBIE SURGOOD,52.0,65.62,2019-04-11,Birmingham Academy
PACO ST ANGE,59.0,68.75,2019-04-11,Birmingham Academy
FORBES SCIMONI,54.0,50.0,2019-04-11,Birmingham Academy
AGGY ALESSANDRUCCI,55.0,65.62,2019-04-11,Birmingham Academy
NICOLA GLOYENS,46.0,71.88,2019-04-11,Birmingham Academy
VIV NEWBY,51.0,46.88,2019-04-11,Birmingham Academy
ROSANNA BERKELY,44.0,59.38,2019-04-11,Birmingham Academy
ARLEN MEACHER,55.0,62.5,2019-04-11,Birmingham Academy
LEIGHA PAFFORD,50.0,53.12,2019-04-11,Birmingham Academy
AMALEA TYSACK,54.0,56.25,2019-04-11,Birmingham Academy
AUBERTA RUDDICK,63.0,71.88,2019-04-11,Birmingham Academy
KATHLIN GIBLING,64.0,75.0,2019-04-11,Birmingham Academy
PARKE COULTHURST,61.0,65.62,2019-04-11,Birmingham Academy
ASHER MCCROW,45.0,37.5,2019-04-11,Birmingham Academy
BERRY GAMMEL,71.0,50.0,2019-12-11,London Academy
MORITZ MOSEDALL,54.0,65.62,2019-12-11,London Academy
NERTI WELFAIR,63.0,56.25,2019-12-11,London Academy
SANDRO PRATCHETT,53.0,59.38,2019-12-11,London Academy
OLIA LINCOLN,62.0,56.25,2019-12-11,London Academy
CARIL BAYLY,58.0,65.62,2019-12-11,London Academy
GIANINA SHEVELIN,51.0,43.75,2019-12-11,London Academy
CHARLOTTE LAXE,58.0,84.38,2019-12-11,London Academy
CORI DOCWRA,56.0,62.5,2019-12-11,London Academy
BESSY TURPIE,62.0,71.88,2019-12-11,London Academy
EL SHEPSTONE,53.0,53.12,2019-12-11,London Academy
NAHUM RIDDOCK,65.0,65.62,2019-12-11,London Academy
BERNI TORRA,54.0,59.38,2019-12-11,London Academy
HORTEN KOOMAR,50.0,56.25,2019-12-11,London Academy
HALEY CHMIEL,42.0,46.88,2019-12-11,London Academy
ALLINA BUTTFIELD,57.0,56.25,2019-12-11,London Academy
MARI LOTTERINGTON,50.0,68.75,2019-12-11,London Academy
ELBERTINE ANGLISS,45.0,75.0,2019-12-11,London Academy
EDDIE MARA,60.0,71.88,2019-12-11,London Academy
WILLI DIBNAH,57.0,68.75,2019-12-11,London Academy
DOMENIC COULTER,64.0,59.38,2019-12-11,London Academy
JOHNNA TARBIN,52.0,78.12,2019-12-11,London Academy
RHYS AYTON,41.0,53.12,2019-12-11,London Academy
RIOBARD COLLCOTT,52.0,71.88,2019-12-11,London Academy
AMALIA SHEPPARD,56.0,68.75,2019-12-11,London Academy
RENE STENNINGS,52.0,68.75,2019-12-11,London Academy
PIPER HAWSON,56.0,68.75,2019-12-11,London Academy
DORETTA LANGDON,58.0,78.12,2019-12-11,London Academy
IMELDA FOWKES,44.0,75.0,2019-12-11,London Academy
CLAUDIAN COPP,47.0,56.25,2019-12-11,London Academy
FREE SIMMGEN,56.0,46.88,2019-12-11,London Academy
MILLY HUGNIN,66.0,68.75,2019-12-11,London Academy
ZACHARIAS RESTORICK,58.0,68.75,2019-07-11,Birmingham Academy
BENITA ENEFER,52.0,62.5,2019-07-11,Birmingham Academy
ROANA SANGER,56.0,62.5,2019-07-11,Birmingham Academy
CHERRITA MCGILLEGHOLE,52.0,78.12,2019-07-11,Birmingham Academy
ORTENSIA WINSCOMB,53.0,81.25,2019-07-11,Birmingham Academy
MICHELLE DUNGEE,45.0,62.5,2019-07-11,Birmingham Academy
LISSA PUMFRETT,59.0,56.25,2019-07-11,Birmingham Academy
HEWET DERWIN,62.0,78.12,2019-07-11,Birmingham Academy
WILHELM JOUANET,63.0,71.88,2019-07-11,Birmingham Academy
BARI STREATFIELD,59.0,68.75,2019-07-11,Birmingham Academy
RIK WAREN,64.0,56.25,2019-07-11,Birmingham Academy
VIVYAN ROBUCHON,61.0,53.12,2019-07-11,Birmingham Academy
DANA OLDERSHAW,49.0,56.25,2019-07-11,Birmingham Academy
WHITMAN PONTER,49.0,71.88,2019-07-11,Birmingham Academy
SHAY OBEE,52.0,56.25,2019-07-11,Birmingham Academy
FAYETTE VATINI,42.0,56.25,2019-07-11,Birmingham Academy
HORATIUS BRANCH,58.0,46.88,2019-07-11,Birmingham Academy
MELAMIE STREAT,48.0,68.75,2019-07-11,Birmingham Academy
FLORIS RIZZETTI,51.0,68.75,2019-07-11,Birmingham Academy
ADELAIDA PIRSON,57.0,84.38,2019-07-11,Birmingham Academy
ESTER MCTERRELLY,63.0,62.5,2019-07-11,Birmingham Academy
LURLINE STIRTLE,57.0,71.88,2019-07-11,Birmingham Academy
ANNECORINNE KERTESS,49.0,56.25,2019-07-11,Birmingham Academy
GAELAN CORDS,59.0,37.5,2019-07-11,Birmingham Academy
COBBY WIXEY,49.0,56.25,2019-07-11,Birmingham Academy
BELLE CATHERALL,53.0,71.88,2019-07-11,Birmingham Academy
LORY BRUCKMAN,53.0,59.38,2019-07-11,Birmingham Academy
RUFE DEVON,51.0,50.0,2019-07-11,Birmingham Academy
ZACHERIE BESWELL,58.0,62.5,2019-07-11,Birmingham Academy
MAME THEURER,39.0,62.5,2019-07-11,Birmingham Academy
MAGGIE DOLDEN,53.0,87.5,2019-07-11,Birmingham Academy
GAGE FEVERYEAR,63.0,59.38,2019-07-11,Birmingham Academy
VIRGINIA BURDGE,57.0,56.25,2019-07-11,Birmingham Academy
ARLETTE PICKLES,61.0,53.12,2019-07-11,Birmingham Academy
MADELEINE BRUNICKE,67.0,50.0,2019-07-11,Birmingham Academy
SIOUXIE ROGAN,60.0,50.0,2019-06-11,London Academy
CHARLEAN BALSTON,53.0,62.5,2019-06-11,London Academy
MAXI HIGHWOOD,48.0,78.12,2019-06-11,London Academy
ANTONI CANEY,66.0,53.12,2019-06-11,London Academy
DIANA WEBBY,61.0,56.25,2019-06-11,London Academy
MALVINA WHITEFORD,53.0,75.0,2019-06-11,London Academy
STEWART STAPLEFORD,44.0,65.62,2019-06-11,London Academy
JAYNE ANDRIVEAU,62.0,81.25,2019-06-11,London Academy
WORTHINGTON RICHFORD,59.0,56.25,2019-06-11,London Academy
DONALT JULYAN,59.0,53.12,2019-06-11,London Academy
MONAH MENCI,62.0,37.5,2019-06-11,London Academy
DEV MCPHERSON,64.0,81.25,2019-06-11,London Academy
SHANDEIGH BIRCHETT,47.0,68.75,2019-06-11,London Academy
VINCENTY ROUBAY,72.0,62.5,2019-06-11,London Academy
MELAMIE KEERS,61.0,68.75,2019-06-11,London Academy
DOY TAMS,58.0,68.75,2019-06-11,London Academy
MERILEE WHEELBAND,47.0,71.88,2019-06-11,London Academy
MARYANNA SEENEY,50.0,56.25,2019-06-11,London Academy
EVANGELIN GORGES,66.0,68.75,2019-06-11,London Academy
SEAN DILLAWAY,54.0,68.75,2019-06-11,London Academy
GISELA SCHACHTER,65.0,62.5,2019-06-11,London Academy
PHEDRA BERRIBALL,56.0,56.25,2019-06-11,London Academy
SHERWOOD CAHAN,42.0,34.38,2019-06-11,London Academy
BYROM SAWDAY,54.0,65.62,2019-06-11,London Academy
JOANNA EGGERTON,51.0,68.75,2019-06-11,London Academy
SHAYNE DE DOMENICO,54.0,62.5,2019-06-11,London Academy
PETRONILLA ZIEMENS,56.0,59.38,2019-06-11,London Academy
NIKOLAUS GULLEFANT,54.0,59.38,2019-06-11,London Academy
AUBERON WERNY,52.0,53.12,2019-06-11,London Academy
FORSTER CLINES,60.0,56.25,2019-06-11,London Academy
MANON CLUTTERHAM,59.0,81.25,2019-09-11,London Academy
RAMON HINCHCLIFFE,56.0,56.25,2019-09-11,London Academy
JENINE IVASHKOV,53.0,75.0,2019-09-11,London Academy
PEBROOK EYDEL,58.0,71.88,2019-09-11,London Academy
BETTE-ANN FERRIERES,43.0,84.38,2019-09-11,London Academy
CHRISSY BARTHOLIN,55.0,59.38,2019-09-11,London Academy
JERE AMOR,50.0,53.12,2019-09-11,London Academy
AMANDA LILL,59.0,65.62,2019-09-11,London Academy
FIONA SANDLE,60.0,53.12,2019-09-11,London Academy
MALINA CASACCIA,65.0,71.88,2019-09-11,London Academy
ANDREAS MEHMET,58.0,59.38,2019-09-11,London Academy
LIANA JOHANNES,39.0,65.62,2019-09-11,London Academy
KEEFE MIRFIN,53.0,71.88,2019-09-11,London Academy
WYATT TRIPPACK,57.0,50.0,2019-09-11,London Academy
DIETRICH SABATER,51.0,71.88,2019-09-11,London Academy
DOROTHEA BIDNALL,54.0,65.62,2019-09-11,London Academy
RENIE ELLIN,63.0,46.88,2019-09-11,London Academy
GERY MARCHMENT,50.0,59.38,2019-09-11,London Academy
HILLARY THOULESS,54.0,71.88,2019-09-11,London Academy
MARIEL BARTEL,53.0,53.12,2019-09-11,London Academy
CHELSY REGUS,48.0,56.25,2019-09-11,London Academy
GUILLAUME RUBURY,41.0,59.38,2019-09-11,London Academy
TEODORA WHAPLINGTON,57.0,65.62,2019-09-11,London Academy
ELFRIDA REECE,66.0,53.12,2019-09-11,London Academy
CORRY SIVETER,42.0,75.0,2019-09-11,London Academy
JILLIAN WENN,57.0,56.25,2019-09-11,London Academy
ELSA WOONTON,54.0,71.88,2019-09-11,London Academy
RACHELE SHAPLIN,65.0,53.12,2019-09-11,London Academy
MERWYN BREMEYER,55.0,59.38,2019-09-11,London Academy
DANNI GURDON,53.0,53.12,2019-09-11,London Academy
VERONIKE ALENOV,53.0,68.75,2019-09-11,London Academy
STEPHAN TIDBALD,61.0,53.12,2019-09-11,London Academy
CHRISSE SANTOSTEFANO.,57.0,78.12,2019-09-11,London Academy
HELYN SAHNOW,67.0,50.0,2019-09-11,London Academy
HOMERUS HEIGHTON,58.0,53.12,2019-09-11,London Academy
FREDIA RUOS,64.0,53.12,2019-09-11,London Academy
HARRIETTA BUTEN,53.0,71.88,2019-09-11,London Academy
GLYNDA CANCELLARIO,48.0,65.62,2019-09-11,London Academy
SARITA WEEDON,66.0,59.38,2019-09-11,London Academy
HI ROMKE,48.0,40.62,2019-12-12,Birmingham Academy
GERTRUDA SYDDIE,53.0,75.0,2019-12-12,Birmingham Academy
LOELLA THOMEL,45.0,68.75,2019-12-12,Birmingham Academy
DNIREN BARLAS,52.0,59.38,2019-12-12,Birmingham Academy
JO ANN BEEKE,51.0,81.25,2019-12-12,Birmingham Academy
MART HAGGERSTONE,57.0,71.88,2019-12-12,Birmingham Academy
PATRICE MILHENCH,55.0,71.88,2019-12-12,Birmingham Academy
SOLLY REEK,55.0,68.75,2019-12-12,Birmingham Academy
DAMIAN BRIMBLECOMBE,41.0,59.38,2019-12-12,Birmingham Academy
FAWNE KEEN,58.0,68.75,2019-12-12,Birmingham Academy
ABRAN HAWSON,47.0,40.62,2019-12-12,Birmingham Academy
JACQUELYNN SAVIN,53.0,71.88,2019-12-12,Birmingham Academy
MATTHEW TUMILSON,54.0,62.5,2019-12-12,Birmingham Academy
BRIDGETTE ANTOS,65.0,81.25,2019-12-12,Birmingham Academy
LESLIE LOCHHEAD,41.0,62.5,2019-12-12,Birmingham Academy
CHET BEAN,58.0,59.38,2019-12-12,Birmingham Academy
KATHRYN STURE,54.0,53.12,2019-12-12,Birmingham Academy
GERRIE DOMENGET,66.0,50.0,2019-12-12,Birmingham Academy
GENOVERA MATTEK,54.0,65.62,2019-12-12,Birmingham Academy
DAWN PETLYURA,65.0,46.88,2019-12-12,Birmingham Academy
ERYN LICENCE,57.0,53.12,2019-12-12,Birmingham Academy
LEMAR KINGSNOD,45.0,81.25,2019-12-12,Birmingham Academy
GAULTIERO VELDSTRA,40.0,71.88,2019-12-12,Birmingham Academy
BRANDTR RODELL,60.0,43.75,2019-12-12,Birmingham Academy
JORDAN CRISTOFORETTI,56.0,65.62,2019-12-12,Birmingham Academy
WILFRID WARDE,42.0,50.0,2019-02-12,London Academy
WASH RICHARDES,60.0,50.0,2019-02-12,London Academy
REDD JURGES,64.0,59.38,2019-02-12,London Academy
TOMMY EVANS,61.0,65.62,2019-02-12,London Academy
STEPHANUS KENWOOD,58.0,56.25,2019-02-12,London Academy
SIWARD LUTEN,45.0,65.62,2019-02-12,London Academy
ADRIA ZORRO,57.0,71.88,2019-02-12,London Academy
AUDRE THOMERSON,58.0,59.38,2019-02-12,London Academy
IRVIN CLAYHILL,55.0,43.75,2019-02-12,London Academy
DARCIE BALDETTI,47.0,46.88,2019-02-12,London Academy
KIZZEE TOYNE,49.0,56.25,2019-02-12,London Academy
ROBBIN DUCHESNE,59.0,46.88,2019-02-12,London Academy
GERTRUD NIND,53.0,71.88,2019-02-12,London Academy
ALOIN ASHMENT,54.0,59.38,2019-02-12,London Academy
SOPHIE BOSSE,59.0,56.25,2019-02-12,London Academy
YEVETTE RIMBAULT,49.0,46.88,2019-02-12,London Academy
DINA DURBYN,59.0,71.88,2019-02-12,London Academy
SKELLY BHAR,48.0,65.62,2019-02-12,London Academy
