,name,psychometrics_score,presentation_score,date,location
16,Lilli Le Brom,47.0,71.88,2019-01-10,Birmingham Academy
0,Darwin Sambiedge,55.0,68.75,2019-07-10,London Academy
1,Grayce Aim,49.0,50.0,2019-07-10,London Academy
2,Betty Lamlin,72.0,75.0,2019-07-10,London Academy
3,Quill Tompkinson,66.0,53.12,2019-07-10,London Academy
4,Shaun Dowley,58.0,68.75,2019-07-10,London Academy
5,Oswald Lyndon,57.0,50.0,2019-07-10,London Academy
6,Stanwood Heimann,49.0,71.88,2019-07-10,London Academy
7,Ruthie Kinvig,44.0,62.5,2019-07-10,London Academy
8,Alison Tett,53.0,56.25,2019-07-10,London Academy
9,Care Oattes,49.0,68.75,2019-07-10,London Academy
10,Uriel Eidelman,50.0,65.62,2019-07-10,London Academy
11,Drake Northcote,53.0,84.38,2019-07-10,London Academy
12,Karel Toulamain,51.0,50.0,2019-07-10,London Academy
13,Zelda Prestage,55.0,56.25,2019-07-10,London Academy
14,Judon Henze,58.0,68.75,2019-07-10,London Academy
15,Miguelita Smedley,62.0,53.12,2019-07-10,London Academy
16,Weylin Comolli,50.0,78.12,2019-07-10,London Academy
17,Daloris Cotesford,60.0,68.75,2019-07-10,London Academy
18,Salim Sarra,53.0,59.38,2019-07-10,London Academy
19,Job Restall,60.0,65.62,2019-07-10,London Academy
20,Thorin Eskriet,57.0,53.12,2019-07-10,London Academy
21,Vivienne Blakelock,60.0,68.75,2019-07-10,London Academy
22,Randie Klimashevich,56.0,65.62,2019-07-10,London Academy
23,Maje Vallis,62.0,68.75,2019-07-10,London Academy
24,Freddie Samber,71.0,81.25,2019-07-10,London Academy
25,Grant Kilban,59.0,68.75,2019-07-10,London Academy
0,Ramsey Divall,51.0,59.38,2019-10-10,Birmingham Academy
1,Clint Draper,37.0,50.0,2019-10-10,Birmingham Academy
2,Drucie Bianco,53.0,71.88,2019-10-10,Birmingham Academy
3,Powell Wank,68.0,53.12,2019-10-10,Birmingham Academy
4,Tonye Hearl,63.0,65.62,2019-10-10,Birmingham Academy
5,Gardener Boundey,49.0,43.75,2019-10-10,Birmingham Academy
6,Cliff Knowlton,57.0,59.38,2019-10-10,Birmingham Academy
7,Lew Bartlomieczak,63.0,71.88,2019-10-10,Birmingham Academy
8,Bartholomeo Keatley,54.0,59.38,2019-10-10,Birmingham Academy
9,Adel Kinrade,56.0,50.0,2019-10-10,Birmingham Academy
10,Parrnell Wroe,59.0,46.88,2019-10-10,Birmingham Academy
11,Alexis Adess,57.0,59.38,2019-10-10,Birmingham Academy
12,Pauly Rebbeck,63.0,56.25,2019-10-10,Birmingham Academy
13,Malvin Penrith,61.0,71.88,2019-10-10,Birmingham Academy
14,Nariko Robelin,44.0,59.38,2019-10-10,Birmingham Academy
15,Wallie Pecha,51.0,68.75,2019-10-10,Birmingham Academy
16,Meredith Craufurd,50.0,43.75,2019-10-10,Birmingham Academy
17,Bobine Advani,55.0,53.12,2019-10-10,Birmingham Academy
18,Toinette Hallut,58.0,62.5,2019-10-10,Birmingham Academy
19,Aleksandr Lean,47.0,68.75,2019-10-10,Birmingham Academy
20,Barnie Jersh,59.0,68.75,2019-10-10,Birmingham Academy
21,Peterus Wraith,49.0,34.38,2019-10-10,Birmingham Academy
22,Ban Craze,38.0,75.0,2019-10-10,Birmingham Academy
23,Chrisy Kesey,58.0,46.88,2019-10-10,Birmingham Academy
24,Binnie Capnerhurst,53.0,43.75,2019-10-10,Birmingham Academy
25,Ammamaria Tassell,57.0,62.5,2019-10-10,Birmingham Academy
26,Karolina Comini,66.0,40.62,2019-10-10,Birmingham Academy
27,Loralie Exroll,53.0,62.5,2019-10-10,Birmingham Academy
28,Bebe Guyonneau,42.0,56.25,2019-10-10,Birmingham Academy
29,Hobard Gaynes,67.0,71.88,2019-10-10,Birmingham Academy
30,Clevie Bowsher,54.0,68.75,2019-10-10,Birmingham Academy
0,Loralyn Dibbs,46.0,56.25,2019-09-10,London Academy
1,Marsha Coulter,60.0,68.75,2019-09-10,London Academy
2,Norene Dericut,60.0,71.88,2019-09-10,London Academy
3,Dale Fewlass,52.0,68.75,2019-09-10,London Academy
4,Wilfred Godwyn,57.0,53.12,2019-09-10,London Academy
5,Irvine Harmson,55.0,71.88,2019-09-10,London Academy
6,Leyla Threadgold,54.0,56.25,2019-09-10,London Academy
7,Ethelred Cartman,52.0,75.0,2019-09-10,London Academy
8,Baldwin Macbey,56.0,75.0,2019-09-10,London Academy
9,Torrence Lanegran,62.0,62.5,2019-09-10,London Academy
10,Angie Langer,41.0,65.62,2019-09-10,London Academy
11,Patric Goult,68.0,68.75,2019-09-10,London Academy
12,Jennine Erni,56.0,81.25,2019-09-10,London Academy
13,Roderic Dagger,45.0,68.75,2019-09-10,London Academy
14,Glynnis Wicken,50.0,81.25,2019-09-10,London Academy
15,Stephine Kirton,63.0,59.38,2019-09-10,London Academy
16,Carroll Treasaden,54.0,65.62,2019-09-10,London Academy
17,Riva Mangeot,53.0,71.88,2019-09-10,London Academy
18,Lilias Mc Gorley,50.0,53.12,2019-09-10,London Academy
19,Garrard Keward,64.0,87.5,2019-09-10,London Academy
20,Collin Commins,52.0,68.75,2019-09-10,London Academy
21,Bertha Burchfield,55.0,56.25,2019-09-10,London Academy
22,Stillmann Qualtrough,63.0,28.12,2019-09-10,London Academy
23,Ignatius Doxsey,60.0,71.88,2019-09-10,London Academy
24,Jo-Ann Gallihaulk,62.0,62.5,2019-09-10,London Academy
25,Mark Beckingham,63.0,87.5,2019-09-10,London Academy
26,Ryley Dael,62.0,78.12,2019-09-10,London Academy
0,Meridel Randell,62.0,71.88,2019-04-11,Birmingham Academy
1,Isacco Boichat,57.0,59.38,2019-04-11,Birmingham Academy
2,Valenka Jirsa,63.0,56.25,2019-04-11,Birmingham Academy
3,Sullivan Peskin,45.0,75.0,2019-04-11,Birmingham Academy
4,Theobald Rawles,66.0,50.0,2019-04-11,Birmingham Academy
5,Hubie Surgood,52.0,65.62,2019-04-11,Birmingham Academy
6,Paco St Ange,59.0,68.75,2019-04-11,Birmingham Academy
7,Forbes Scimoni,54.0,50.0,2019-04-11,Birmingham Academy
8,Aggy Alessandrucci,55.0,65.62,2019-04-11,Birmingham Academy
9,Nicola Gloyens,46.0,71.88,2019-04-11,Birmingham Academy
10,Viv Newby,51.0,46.88,2019-04-11,Birmingham Academy
11,Rosanna Berkely,44.0,59.38,2019-04-11,Birmingham Academy
12,Arlen Meacher,55.0,62.5,2019-04-11,Birmingham Academy
13,Leigha Pafford,50.0,53.12,2019-04-11,Birmingham Academy
14,Amalea Tysack,54.0,56.25,2019-04-11,Birmingham Academy
15,Auberta Ruddick,63.0,71.88,2019-04-11,Birmingham Academy
16,Kathlin Gibling,64.0,75.0,2019-04-11,Birmingham Academy
17,Parke Coulthurst,61.0,65.62,2019-04-11,Birmingham Academy
18,Asher Mccrow,45.0,37.5,2019-04-11,Birmingham Academy
19,Scott Duny,57.0,53.12,2019-04-11,Birmingham Academy
0,Berry Gammel,71.0,50.0,2019-12-11,London Academy
1,Moritz Mosedall,54.0,65.62,2019-12-11,London Academy
2,Nerti Welfair,63.0,56.25,2019-12-11,London Academy
3,Sandro Pratchett,53.0,59.38,2019-12-11,London Academy
4,Olia Lincoln,62.0,56.25,2019-12-11,London Academy
5,Caril Bayly,58.0,65.62,2019-12-11,London Academy
6,Gianina Shevelin,51.0,43.75,2019-12-11,London Academy
7,Charlotte Laxe,58.0,84.38,2019-12-11,London Academy
8,Cori Docwra,56.0,62.5,2019-12-11,London Academy
9,Bessy Turpie,62.0,71.88,2019-12-11,London Academy
10,El Shepstone,53.0,53.12,2019-12-11,London Academy
11,Nahum Riddock,65.0,65.62,2019-12-11,London Academy
12,Berni Torra,54.0,59.38,2019-12-11,London Academy
13,Horten Koomar,50.0,56.25,2019-12-11,London Academy
14,Haley Chmiel,42.0,46.88,2019-12-11,London Academy
15,Allina Buttfield,57.0,56.25,2019-12-11,London Academy
16,Mari Lotterington,50.0,68.75,2019-12-11,London Academy
17,Elbertine Angliss,45.0,75.0,2019-12-11,London Academy
18,Eddie Mara,60.0,71.88,2019-12-11,London Academy
19,Willi Dibnah,57.0,68.75,2019-12-11,London Academy
20,Domenic Coulter,64.0,59.38,2019-12-11,London Academy
21,Johnna Tarbin,52.0,78.12,2019-12-11,London Academy
22,Rhys Ayton,41.0,53.12,2019-12-11,London Academy
23,Riobard Collcott,52.0,71.88,2019-12-11,London Academy
24,Amalia Sheppard,56.0,68.75,2019-12-11,London Academy
25,Rene Stennings,52.0,68.75,2019-12-11,London Academy
26,Piper Hawson,56.0,68.75,2019-12-11,London Academy
27,Doretta Langdon,58.0,78.12,2019-12-11,London Academy
28,Imelda Fowkes,44.0,75.0,2019-12-11,London Academy
29,Claudian Copp,47.0,56.25,2019-12-11,London Academy
30,Free Simmgen,56.0,46.88,2019-12-11,London Academy
31,Milly Hugnin,66.0,68.75,2019-12-11,London Academy
32,Elissa Knowles,50.0,68.75,2019-12-11,London Academy
0,Zacharias Restorick,58.0,68.75,2019-07-11,Birmingham Academy
1,Benita Enefer,52.0,62.5,2019-07-11,Birmingham Academy
2,Roana Sanger,56.0,62.5,2019-07-11,Birmingham Academy
3,Cherrita Mcgilleghole,52.0,78.12,2019-07-11,Birmingham Academy
4,Ortensia Winscomb,53.0,81.25,2019-07-11,Birmingham Academy
5,Michelle Dungee,45.0,62.5,2019-07-11,Birmingham Academy
6,Lissa Pumfrett,59.0,56.25,2019-07-11,Birmingham Academy
7,Hewet Derwin,62.0,78.12,2019-07-11,Birmingham Academy
8,Wilhelm Jouanet,63.0,71.88,2019-07-11,Birmingham Academy
9,Bari Streatfield,59.0,68.75,2019-07-11,Birmingham Academy
10,Rik Waren,64.0,56.25,2019-07-11,Birmingham Academy
11,Vivyan Robuchon,61.0,53.12,2019-07-11,Birmingham Academy
12,Dana Oldershaw,49.0,56.25,2019-07-11,Birmingham Academy
13,Whitman Ponter,49.0,71.88,2019-07-11,Birmingham Academy
14,Shay Obee,52.0,56.25,2019-07-11,Birmingham Academy
15,Fayette Vatini,42.0,56.25,2019-07-11,Birmingham Academy
16,Horatius Branch,58.0,46.88,2019-07-11,Birmingham Academy
17,Melamie Streat,48.0,68.75,2019-07-11,Birmingham Academy
18,Floris Rizzetti,51.0,68.75,2019-07-11,Birmingham Academy
19,Adelaida Pirson,57.0,84.38,2019-07-11,Birmingham Academy
20,Ester Mcterrelly,63.0,62.5,2019-07-11,Birmingham Academy
21,Lurline Stirtle,57.0,71.88,2019-07-11,Birmingham Academy
22,Annecorinne Kertess,49.0,56.25,2019-07-11,Birmingham Academy
23,Gaelan Cords,59.0,37.5,2019-07-11,Birmingham Academy
24,Cobby Wixey,49.0,56.25,2019-07-11,Birmingham Academy
25,Belle Catherall,53.0,71.88,2019-07-11,Birmingham Academy
26,Lory Bruckman,53.0,59.38,2019-07-11,Birmingham Academy
27,Rufe Devon,51.0,50.0,2019-07-11,Birmingham Academy
28,Zacherie Beswell,58.0,62.5,2019-07-11,Birmingham Academy
29,Mame Theurer,39.0,62.5,2019-07-11,Birmingham Academy
30,Maggie Dolden,53.0,87.5,2019-07-11,Birmingham Academy
31,Gage Feveryear,63.0,59.38,2019-07-11,Birmingham Academy
32,Virginia Burdge,57.0,56.25,2019-07-11,Birmingham Academy
33,Arlette Pickles,61.0,53.12,2019-07-11,Birmingham Academy
34,Madeleine Brunicke,67.0,50.0,2019-07-11,Birmingham Academy
35,Sinclair Bonder,60.0,81.25,2019-07-11,Birmingham Academy
0,Siouxie Rogan,60.0,50.0,2019-06-11,London Academy
1,Charlean Balston,53.0,62.5,2019-06-11,London Academy
2,Maxi Highwood,48.0,78.12,2019-06-11,London Academy
3,Antoni Caney,66.0,53.12,2019-06-11,London Academy
4,Diana Webby,61.0,56.25,2019-06-11,London Academy
5,Malvina Whiteford,53.0,75.0,2019-06-11,London Academy
6,Stewart Stapleford,44.0,65.62,2019-06-11,London Academy
7,Jayne Andriveau,62.0,81.25,2019-06-11,London Academy
8,Worthington Richford,59.0,56.25,2019-06-11,London Academy
9,Donalt Julyan,59.0,53.12,2019-06-11,London Academy
10,Monah Menci,62.0,37.5,2019-06-11,London Academy
11,Dev Mcpherson,64.0,81.25,2019-06-11,London Academy
12,Shandeigh Birchett,47.0,68.75,2019-06-11,London Academy
13,Vincenty Roubay,72.0,62.5,2019-06-11,London Academy
14,Melamie Keers,61.0,68.75,2019-06-11,London Academy
15,Doy Tams,58.0,68.75,2019-06-11,London Academy
16,Merilee Wheelband,47.0,71.88,2019-06-11,London Academy
17,Maryanna Seeney,50.0,56.25,2019-06-11,London Academy
18,Evangelin Gorges,66.0,68.75,2019-06-11,London Academy
19,Sean Dillaway,54.0,68.75,2019-06-11,London Academy
20,Gisela Schachter,65.0,62.5,2019-06-11,London Academy
21,Phedra Berriball,56.0,56.25,2019-06-11,London Academy
22,Sherwood Cahan,42.0,34.38,2019-06-11,London Academy
23,Byrom Sawday,54.0,65.62,2019-06-11,London Academy
24,Joanna Eggerton,51.0,68.75,2019-06-11,London Academy
25,Shayne De Domenico,54.0,62.5,2019-06-11,London Academy
26,Petronilla Ziemens,56.0,59.38,2019-06-11,London Academy
27,Nikolaus Gullefant,54.0,59.38,2019-06-11,London Academy
28,Auberon Werny,52.0,53.12,2019-06-11,London Academy
29,Forster Clines,60.0,56.25,2019-06-11,London Academy
30,Prentice Van Der Hoeven,60.0,71.88,2019-06-11,London Academy
0,Manon Clutterham,59.0,81.25,2019-09-11,London Academy
1,Ramon Hinchcliffe,56.0,56.25,2019-09-11,London Academy
2,Jenine Ivashkov,53.0,75.0,2019-09-11,London Academy
3,Pebrook Eydel,58.0,71.88,2019-09-11,London Academy
4,Bette-Ann Ferrieres,43.0,84.38,2019-09-11,London Academy
5,Chrissy Bartholin,55.0,59.38,2019-09-11,London Academy
6,Jere Amor,50.0,53.12,2019-09-11,London Academy
7,Amanda Lill,59.0,65.62,2019-09-11,London Academy
8,Fiona Sandle,60.0,53.12,2019-09-11,London Academy
9,Malina Casaccia,65.0,71.88,2019-09-11,London Academy
10,Andreas Mehmet,58.0,59.38,2019-09-11,London Academy
11,Liana Johannes,39.0,65.62,2019-09-11,London Academy
12,Keefe Mirfin,53.0,71.88,2019-09-11,London Academy
13,Wyatt Trippack,57.0,50.0,2019-09-11,London Academy
14,Dietrich Sabater,51.0,71.88,2019-09-11,London Academy
15,Dorothea Bidnall,54.0,65.62,2019-09-11,London Academy
16,Renie Ellin,63.0,46.88,2019-09-11,London Academy
17,Gery Marchment,50.0,59.38,2019-09-11,London Academy
18,Hillary Thouless,54.0,71.88,2019-09-11,London Academy
19,Mariel Bartel,53.0,53.12,2019-09-11,London Academy
20,Chelsy Regus,48.0,56.25,2019-09-11,London Academy
21,Guillaume Rubury,41.0,59.38,2019-09-11,London Academy
22,Teodora Whaplington,57.0,65.62,2019-09-11,London Academy
23,Elfrida Reece,66.0,53.12,2019-09-11,London Academy
24,Corry Siveter,42.0,75.0,2019-09-11,London Academy
25,Jillian Wenn,57.0,56.25,2019-09-11,London Academy
26,Elsa Woonton,54.0,71.88,2019-09-11,London Academy
27,Rachele Shaplin,65.0,53.12,2019-09-11,London Academy
28,Merwyn Bremeyer,55.0,59.38,2019-09-11,London Academy
29,Danni Gurdon,53.0,53.12,2019-09-11,London Academy
30,Veronike Alenov,53.0,68.75,2019-09-11,London Academy
31,Stephan Tidbald,61.0,53.12,2019-09-11,London Academy
32,Chrisse Santostefano.,57.0,78.12,2019-09-11,London Academy
33,Helyn Sahnow,67.0,50.0,2019-09-11,London Academy
34,Homerus Heighton,58.0,53.12,2019-09-11,London Academy
35,Fredia Ruos,64.0,53.12,2019-09-11,London Academy
36,Harrietta Buten,53.0,71.88,2019-09-11,London Academy
37,Glynda Cancellario,48.0,65.62,2019-09-11,London Academy
38,Sarita Weedon,66.0,59.38,2019-09-11,London Academy
39,Darwin Vlasov,51.0,78.12,2019-09-11,London Academy
0,Hi Romke,48.0,40.62,2019-12-12,Birmingham Academy
1,Gertruda Syddie,53.0,75.0,2019-12-12,Birmingham Academy
2,Loella Thomel,45.0,68.75,2019-12-12,Birmingham Academy
3,Dniren Barlas,52.0,59.38,2019-12-12,Birmingham Academy
4,Jo Ann Beeke,51.0,81.25,2019-12-12,Birmingham Academy
5,Mart Haggerstone,57.0,71.88,2019-12-12,Birmingham Academy
6,Patrice Milhench,55.0,71.88,2019-12-12,Birmingham Academy
7,Solly Reek,55.0,68.75,2019-12-12,Birmingham Academy
8,Damian Brimblecombe,41.0,59.38,2019-12-12,Birmingham Academy
9,Fawne Keen,58.0,68.75,2019-12-12,Birmingham Academy
10,Abran Hawson,47.0,40.62,2019-12-12,Birmingham Academy
11,Jacquelynn Savin,53.0,71.88,2019-12-12,Birmingham Academy
12,Matthew Tumilson,54.0,62.5,2019-12-12,Birmingham Academy
13,Bridgette Antos,65.0,81.25,2019-12-12,Birmingham Academy
14,Leslie Lochhead,41.0,62.5,2019-12-12,Birmingham Academy
15,Chet Bean,58.0,59.38,2019-12-12,Birmingham Academy
16,Kathryn Sture,54.0,53.12,2019-12-12,Birmingham Academy
17,Gerrie Domenget,66.0,50.0,2019-12-12,Birmingham Academy
18,Genovera Mattek,54.0,65.62,2019-12-12,Birmingham Academy
19,Dawn Petlyura,65.0,46.88,2019-12-12,Birmingham Academy
20,Eryn Licence,57.0,53.12,2019-12-12,Birmingham Academy
21,Lemar Kingsnod,45.0,81.25,2019-12-12,Birmingham Academy
22,Gaultiero Veldstra,40.0,71.88,2019-12-12,Birmingham Academy
23,Brandtr Rodell,60.0,43.75,2019-12-12,Birmingham Academy
24,Jordan Cristoforetti,56.0,65.62,2019-12-12,Birmingham Academy
25,Chaim Inseal,57.0,68.75,2019-12-12,Birmingham Academy
0,Wilfrid Warde,42.0,50.0,2019-02-12,London Academy
1,Wash Richardes,60.0,50.0,2019-02-12,London Academy
2,Redd Jurges,64.0,59.38,2019-02-12,London Academy
3,Tommy Evans,61.0,65.62,2019-02-12,London Academy
4,Stephanus Kenwood,58.0,56.25,2019-02-12,London Academy
5,Siward Luten,45.0,65.62,2019-02-12,London Academy
6,Adria Zorro,57.0,71.88,2019-02-12,London Academy
7,Audre Thomerson,58.0,59.38,2019-02-12,London Academy
8,Irvin Clayhill,55.0,43.75,2019-02-12,London Academy
9,Darcie Baldetti,47.0,46.88,2019-02-12,London Academy
