,first_name,middle_name,last_name,psychometrics_score,presentation_score,date,location,candidate_id_str
1,Tiler,,Andrejevic,55.0,65.62,2019-04-10,London,Tiler Andrejevic 2019-04-10
2,Ester,,Foldes,48.0,71.88,2019-04-10,London,Ester Foldes 2019-04-10
3,Mile,,O'Brien,50.0,75.0,2019-04-10,London,Mile O'Brien 2019-04-10
4,Sheeree,,Collop,66.0,59.38,2019-04-10,London,Sheeree Collop 2019-04-10
5,Libbie,,Pluck,51.0,59.38,2019-04-10,London,Libbie Pluck 2019-04-10
6,Gusty,,Beevens,42.0,68.75,2019-04-10,London,Gusty Beevens 2019-04-10
7,Lon,,Gillimgham,56.0,56.25,2019-04-10,London,Lon Gillimgham 2019-04-10
8,Hogan,,Bushnell,65.0,68.75,2019-04-10,London,Hogan Bushnell 2019-04-10
9,Tiffany,,Gronaller,54.0,75.0,2019-04-10,London,Tiffany Gronaller 2019-04-10
10,Chilton,,Niece,62.0,68.75,2019-04-10,London,Chilton Niece 2019-04-10
11,Eda,,Banner,72.0,62.5,2019-04-10,London,Eda Banner 2019-04-10
12,Donalt,,Savary,48.0,56.25,2019-04-10,London,Donalt Savary 2019-04-10
13,Oralle,,Kose,50.0,68.75,2019-04-10,London,Oralle Kose 2019-04-10
14,Vernor,,Farrance,55.0,68.75,2019-04-10,London,Vernor Farrance 2019-04-10
15,Salvidor,,Cully,53.0,56.25,2019-04-10,London,Salvidor Cully 2019-04-10
16,Ninette,,Borrel,49.0,34.38,2019-04-10,London,Ninette Borrel 2019-04-10
17,Todd,,Kohnert,58.0,75.0,2019-04-10,London,Todd Kohnert 2019-04-10
18,Gunter,,Marzellano,63.0,71.88,2019-04-10,London,Gunter Marzellano 2019-04-10
19,Enrique,,Garside,57.0,59.38,2019-04-10,London,Enrique Garside 2019-04-10
20,Hilda,,Winkett,69.0,78.12,2019-04-10,London,Hilda Winkett 2019-04-10
21,Giles,,De Angelis,52.0,71.88,2019-04-10,London,Giles De Angelis 2019-04-10
22,Kala,,Franzini,48.0,81.25,2019-04-10,London,Kala Franzini 2019-04-10
23,Davey,,Mcdowell,52.0,75.0,2019-04-10,London,Davey Mcdowell 2019-04-10
24,Mickey,,Lamport,56.0,56.25,2019-04-10,London,Mickey Lamport 2019-04-10
25,Myrna,,Bonafant,51.0,71.88,2019-04-10,London,Myrna Bonafant 2019-04-10
26,Monty,,Hillam,47.0,34.38,2019-04-10,London,Monty Hillam 2019-04-10
27,Luke,,Able,51.0,68.75,2019-04-10,London,Luke Able 2019-04-10
28,Phillis,,Lyfield,55.0,71.88,2019-04-10,London,Phillis Lyfield 2019-04-10
0,Candy,,Berends,66.0,46.88,2019-12-10,London,Candy Berends 2019-12-10
1,Adolpho,,Litterick,63.0,53.12,2019-12-10,London,Adolpho Litterick 2019-12-10
2,Rockey,,Courtes,53.0,65.62,2019-12-10,London,Rockey Courtes 2019-12-10
3,Salmon,,Glenfield,52.0,65.62,2019-12-10,London,Salmon Glenfield 2019-12-10
4,Jena,,Livings,62.0,65.62,2019-12-10,London,Jena Livings 2019-12-10
5,Kaitlyn,,Chagg,53.0,56.25,2019-12-10,London,Kaitlyn Chagg 2019-12-10
6,Steffane,,Laity,62.0,78.12,2019-12-10,London,Steffane Laity 2019-12-10
7,Harrie,,Chatin,69.0,68.75,2019-12-10,London,Harrie Chatin 2019-12-10
8,Bambi,,Earthfield,60.0,62.5,2019-12-10,London,Bambi Earthfield 2019-12-10
9,Ulberto,,Stroton,59.0,68.75,2019-12-10,London,Ulberto Stroton 2019-12-10
10,Reinold,,Jenicek,51.0,62.5,2019-12-10,London,Reinold Jenicek 2019-12-10
11,Guido,,Allans,57.0,50.0,2019-12-10,London,Guido Allans 2019-12-10
12,Orella,,Goshawke,55.0,53.12,2019-12-10,London,Orella Goshawke 2019-12-10
13,Felita,,Jzhakov,59.0,68.75,2019-12-10,London,Felita Jzhakov 2019-12-10
14,Filide,,Roony,60.0,68.75,2019-12-10,London,Filide Roony 2019-12-10
15,Charley,,Fredi,55.0,62.5,2019-12-10,London,Charley Fredi 2019-12-10
16,Melly,,Ible,52.0,65.62,2019-12-10,London,Melly Ible 2019-12-10
17,Wallie,,Chittenden,57.0,68.75,2019-12-10,London,Wallie Chittenden 2019-12-10
18,Scotti,,Bromfield,50.0,65.62,2019-12-10,London,Scotti Bromfield 2019-12-10
19,Elisa,,Gowman,50.0,59.38,2019-12-10,London,Elisa Gowman 2019-12-10
0,Sue,,Barfitt,50.0,59.38,2019-01-10,Birmingham,Sue Barfitt 2019-01-10
1,Zea,,Barette,52.0,56.25,2019-01-10,Birmingham,Zea Barette 2019-01-10
2,Meggie,,Sidsaff,52.0,56.25,2019-01-10,Birmingham,Meggie Sidsaff 2019-01-10
3,Gui,,Graine,57.0,53.12,2019-01-10,Birmingham,Gui Graine 2019-01-10
4,Carolann,,Bumby,50.0,50.0,2019-01-10,Birmingham,Carolann Bumby 2019-01-10
5,Danya,,Sedgefield,57.0,81.25,2019-01-10,Birmingham,Danya Sedgefield 2019-01-10
6,Rolland,,Figgins,41.0,68.75,2019-01-10,Birmingham,Rolland Figgins 2019-01-10
7,Frank,,Tolchard,50.0,56.25,2019-01-10,Birmingham,Frank Tolchard 2019-01-10
8,Shelli,,Abbess,51.0,68.75,2019-01-10,Birmingham,Shelli Abbess 2019-01-10
9,Ambros,,Ethington,56.0,71.88,2019-01-10,Birmingham,Ambros Ethington 2019-01-10
10,Nikola,,Devericks,49.0,53.12,2019-01-10,Birmingham,Nikola Devericks 2019-01-10
11,Cheston,,Ceillier,65.0,78.12,2019-01-10,Birmingham,Cheston Ceillier 2019-01-10
12,Babita,,Heigho,50.0,87.5,2019-01-10,Birmingham,Babita Heigho 2019-01-10
13,Vince,,Scott,65.0,81.25,2019-01-10,Birmingham,Vince Scott 2019-01-10
14,Stephan,,Jaxon,63.0,68.75,2019-01-10,Birmingham,Stephan Jaxon 2019-01-10
15,Thatcher,,Northey,49.0,50.0,2019-01-10,Birmingham,Thatcher Northey 2019-01-10
16,Lilli,,Le Brom,47.0,71.88,2019-01-10,Birmingham,Lilli Le Brom 2019-01-10
0,Darwin,,Sambiedge,55.0,68.75,2019-07-10,London,Darwin Sambiedge 2019-07-10
1,Grayce,,Aim,49.0,50.0,2019-07-10,London,Grayce Aim 2019-07-10
2,Betty,,Lamlin,72.0,75.0,2019-07-10,London,Betty Lamlin 2019-07-10
3,Quill,,Tompkinson,66.0,53.12,2019-07-10,London,Quill Tompkinson 2019-07-10
4,Shaun,,Dowley,58.0,68.75,2019-07-10,London,Shaun Dowley 2019-07-10
5,Oswald,,Lyndon,57.0,50.0,2019-07-10,London,Oswald Lyndon 2019-07-10
6,Stanwood,,Heimann,49.0,71.88,2019-07-10,London,Stanwood Heimann 2019-07-10
7,Ruthie,,Kinvig,44.0,62.5,2019-07-10,London,Ruthie Kinvig 2019-07-10
8,Alison,,Tett,53.0,56.25,2019-07-10,London,Alison Tett 2019-07-10
9,Care,,Oattes,49.0,68.75,2019-07-10,London,Care Oattes 2019-07-10
10,Uriel,,Eidelman,50.0,65.62,2019-07-10,London,Uriel Eidelman 2019-07-10
11,Drake,,Northcote,53.0,84.38,2019-07-10,London,Drake Northcote 2019-07-10
12,Karel,,Toulamain,51.0,50.0,2019-07-10,London,Karel Toulamain 2019-07-10
13,Zelda,,Prestage,55.0,56.25,2019-07-10,London,Zelda Prestage 2019-07-10
14,Judon,,Henze,58.0,68.75,2019-07-10,London,Judon Henze 2019-07-10
15,Miguelita,,Smedley,62.0,53.12,2019-07-10,London,Miguelita Smedley 2019-07-10
16,Weylin,,Comolli,50.0,78.12,2019-07-10,London,Weylin Comolli 2019-07-10
17,Daloris,,Cotesford,60.0,68.75,2019-07-10,London,Daloris Cotesford 2019-07-10
18,Salim,,Sarra,53.0,59.38,2019-07-10,London,Salim Sarra 2019-07-10
19,Job,,Restall,60.0,65.62,2019-07-10,London,Job Restall 2019-07-10
20,Thorin,,Eskriet,57.0,53.12,2019-07-10,London,Thorin Eskriet 2019-07-10
21,Vivienne,,Blakelock,60.0,68.75,2019-07-10,London,Vivienne Blakelock 2019-07-10
22,Randie,,Klimashevich,56.0,65.62,2019-07-10,London,Randie Klimashevich 2019-07-10
23,Maje,,Vallis,62.0,68.75,2019-07-10,London,Maje Vallis 2019-07-10
24,Freddie,,Samber,71.0,81.25,2019-07-10,London,Freddie Samber 2019-07-10
25,Grant,,Kilban,59.0,68.75,2019-07-10,London,Grant Kilban 2019-07-10
0,Ramsey,,Divall,51.0,59.38,2019-10-10,Birmingham,Ramsey Divall 2019-10-10
1,Clint,,Draper,37.0,50.0,2019-10-10,Birmingham,Clint Draper 2019-10-10
2,Drucie,,Bianco,53.0,71.88,2019-10-10,Birmingham,Drucie Bianco 2019-10-10
3,Powell,,Wank,68.0,53.12,2019-10-10,Birmingham,Powell Wank 2019-10-10
4,Tonye,,Hearl,63.0,65.62,2019-10-10,Birmingham,Tonye Hearl 2019-10-10
5,Gardener,,Boundey,49.0,43.75,2019-10-10,Birmingham,Gardener Boundey 2019-10-10
6,Cliff,,Knowlton,57.0,59.38,2019-10-10,Birmingham,Cliff Knowlton 2019-10-10
7,Lew,,Bartlomieczak,63.0,71.88,2019-10-10,Birmingham,Lew Bartlomieczak 2019-10-10
8,Bartholomeo,,Keatley,54.0,59.38,2019-10-10,Birmingham,Bartholomeo Keatley 2019-10-10
9,Adel,,Kinrade,56.0,50.0,2019-10-10,Birmingham,Adel Kinrade 2019-10-10
10,Parrnell,,Wroe,59.0,46.88,2019-10-10,Birmingham,Parrnell Wroe 2019-10-10
11,Alexis,,Adess,57.0,59.38,2019-10-10,Birmingham,Alexis Adess 2019-10-10
12,Pauly,,Rebbeck,63.0,56.25,2019-10-10,Birmingham,Pauly Rebbeck 2019-10-10
13,Malvin,,Penrith,61.0,71.88,2019-10-10,Birmingham,Malvin Penrith 2019-10-10
14,Nariko,,Robelin,44.0,59.38,2019-10-10,Birmingham,Nariko Robelin 2019-10-10
15,Wallie,,Pecha,51.0,68.75,2019-10-10,Birmingham,Wallie Pecha 2019-10-10
16,Meredith,,Craufurd,50.0,43.75,2019-10-10,Birmingham,Meredith Craufurd 2019-10-10
17,Bobine,,Advani,55.0,53.12,2019-10-10,Birmingham,Bobine Advani 2019-10-10
18,Toinette,,Hallut,58.0,62.5,2019-10-10,Birmingham,Toinette Hallut 2019-10-10
19,Aleksandr,,Lean,47.0,68.75,2019-10-10,Birmingham,Aleksandr Lean 2019-10-10
20,Barnie,,Jersh,59.0,68.75,2019-10-10,Birmingham,Barnie Jersh 2019-10-10
21,Peterus,,Wraith,49.0,34.38,2019-10-10,Birmingham,Peterus Wraith 2019-10-10
22,Ban,,Craze,38.0,75.0,2019-10-10,Birmingham,Ban Craze 2019-10-10
23,Chrisy,,Kesey,58.0,46.88,2019-10-10,Birmingham,Chrisy Kesey 2019-10-10
24,Binnie,,Capnerhurst,53.0,43.75,2019-10-10,Birmingham,Binnie Capnerhurst 2019-10-10
25,Ammamaria,,Tassell,57.0,62.5,2019-10-10,Birmingham,Ammamaria Tassell 2019-10-10
26,Karolina,,Comini,66.0,40.62,2019-10-10,Birmingham,Karolina Comini 2019-10-10
27,Loralie,,Exroll,53.0,62.5,2019-10-10,Birmingham,Loralie Exroll 2019-10-10
28,Bebe,,Guyonneau,42.0,56.25,2019-10-10,Birmingham,Bebe Guyonneau 2019-10-10
29,Hobard,,Gaynes,67.0,71.88,2019-10-10,Birmingham,Hobard Gaynes 2019-10-10
30,Clevie,,Bowsher,54.0,68.75,2019-10-10,Birmingham,Clevie Bowsher 2019-10-10
0,Loralyn,,Dibbs,46.0,56.25,2019-09-10,London,Loralyn Dibbs 2019-09-10
1,Marsha,,Coulter,60.0,68.75,2019-09-10,London,Marsha Coulter 2019-09-10
2,Norene,,Dericut,60.0,71.88,2019-09-10,London,Norene Dericut 2019-09-10
3,Dale,,Fewlass,52.0,68.75,2019-09-10,London,Dale Fewlass 2019-09-10
4,Wilfred,,Godwyn,57.0,53.12,2019-09-10,London,Wilfred Godwyn 2019-09-10
5,Irvine,,Harmson,55.0,71.88,2019-09-10,London,Irvine Harmson 2019-09-10
6,Leyla,,Threadgold,54.0,56.25,2019-09-10,London,Leyla Threadgold 2019-09-10
7,Ethelred,,Cartman,52.0,75.0,2019-09-10,London,Ethelred Cartman 2019-09-10
8,Baldwin,,Macbey,56.0,75.0,2019-09-10,London,Baldwin Macbey 2019-09-10
9,Torrence,,Lanegran,62.0,62.5,2019-09-10,London,Torrence Lanegran 2019-09-10
10,Angie,,Langer,41.0,65.62,2019-09-10,London,Angie Langer 2019-09-10
11,Patric,,Goult,68.0,68.75,2019-09-10,London,Patric Goult 2019-09-10
12,Jennine,,Erni,56.0,81.25,2019-09-10,London,Jennine Erni 2019-09-10
13,Roderic,,Dagger,45.0,68.75,2019-09-10,London,Roderic Dagger 2019-09-10
14,Glynnis,,Wicken,50.0,81.25,2019-09-10,London,Glynnis Wicken 2019-09-10
15,Stephine,,Kirton,63.0,59.38,2019-09-10,London,Stephine Kirton 2019-09-10
16,Carroll,,Treasaden,54.0,65.62,2019-09-10,London,Carroll Treasaden 2019-09-10
17,Riva,,Mangeot,53.0,71.88,2019-09-10,London,Riva Mangeot 2019-09-10
18,Lilias,,Mc Gorley,50.0,53.12,2019-09-10,London,Lilias Mc Gorley 2019-09-10
19,Garrard,,Keward,64.0,87.5,2019-09-10,London,Garrard Keward 2019-09-10
20,Collin,,Commins,52.0,68.75,2019-09-10,London,Collin Commins 2019-09-10
21,Bertha,,Burchfield,55.0,56.25,2019-09-10,London,Bertha Burchfield 2019-09-10
22,Stillmann,,Qualtrough,63.0,28.12,2019-09-10,London,Stillmann Qualtrough 2019-09-10
23,Ignatius,,Doxsey,60.0,71.88,2019-09-10,London,Ignatius Doxsey 2019-09-10
24,Jo-Ann,,Gallihaulk,62.0,62.5,2019-09-10,London,Jo-Ann Gallihaulk 2019-09-10
25,Mark,,Beckingham,63.0,87.5,2019-09-10,London,Mark Beckingham 2019-09-10
26,Ryley,,Dael,62.0,78.12,2019-09-10,London,Ryley Dael 2019-09-10
0,Meridel,,Randell,62.0,71.88,2019-04-11,Birmingham,Meridel Randell 2019-04-11
1,Isacco,,Boichat,57.0,59.38,2019-04-11,Birmingham,Isacco Boichat 2019-04-11
2,Valenka,,Jirsa,63.0,56.25,2019-04-11,Birmingham,Valenka Jirsa 2019-04-11
3,Sullivan,,Peskin,45.0,75.0,2019-04-11,Birmingham,Sullivan Peskin 2019-04-11
4,Theobald,,Rawles,66.0,50.0,2019-04-11,Birmingham,Theobald Rawles 2019-04-11
5,Hubie,,Surgood,52.0,65.62,2019-04-11,Birmingham,Hubie Surgood 2019-04-11
6,Paco,,St Ange,59.0,68.75,2019-04-11,Birmingham,Paco St Ange 2019-04-11
7,Forbes,,Scimoni,54.0,50.0,2019-04-11,Birmingham,Forbes Scimoni 2019-04-11
8,Aggy,,Alessandrucci,55.0,65.62,2019-04-11,Birmingham,Aggy Alessandrucci 2019-04-11
9,Nicola,,Gloyens,46.0,71.88,2019-04-11,Birmingham,Nicola Gloyens 2019-04-11
10,Viv,,Newby,51.0,46.88,2019-04-11,Birmingham,Viv Newby 2019-04-11
11,Rosanna,,Berkely,44.0,59.38,2019-04-11,Birmingham,Rosanna Berkely 2019-04-11
12,Arlen,,Meacher,55.0,62.5,2019-04-11,Birmingham,Arlen Meacher 2019-04-11
13,Leigha,,Pafford,50.0,53.12,2019-04-11,Birmingham,Leigha Pafford 2019-04-11
14,Amalea,,Tysack,54.0,56.25,2019-04-11,Birmingham,Amalea Tysack 2019-04-11
15,Auberta,,Ruddick,63.0,71.88,2019-04-11,Birmingham,Auberta Ruddick 2019-04-11
16,Kathlin,,Gibling,64.0,75.0,2019-04-11,Birmingham,Kathlin Gibling 2019-04-11
17,Parke,,Coulthurst,61.0,65.62,2019-04-11,Birmingham,Parke Coulthurst 2019-04-11
18,Asher,,Mccrow,45.0,37.5,2019-04-11,Birmingham,Asher Mccrow 2019-04-11
19,Scott,,Duny,57.0,53.12,2019-04-11,Birmingham,Scott Duny 2019-04-11
0,Berry,,Gammel,71.0,50.0,2019-12-11,London,Berry Gammel 2019-12-11
1,Moritz,,Mosedall,54.0,65.62,2019-12-11,London,Moritz Mosedall 2019-12-11
2,Nerti,,Welfair,63.0,56.25,2019-12-11,London,Nerti Welfair 2019-12-11
3,Sandro,,Pratchett,53.0,59.38,2019-12-11,London,Sandro Pratchett 2019-12-11
4,Olia,,Lincoln,62.0,56.25,2019-12-11,London,Olia Lincoln 2019-12-11
5,Caril,,Bayly,58.0,65.62,2019-12-11,London,Caril Bayly 2019-12-11
6,Gianina,,Shevelin,51.0,43.75,2019-12-11,London,Gianina Shevelin 2019-12-11
7,Charlotte,,Laxe,58.0,84.38,2019-12-11,London,Charlotte Laxe 2019-12-11
8,Cori,,Docwra,56.0,62.5,2019-12-11,London,Cori Docwra 2019-12-11
9,Bessy,,Turpie,62.0,71.88,2019-12-11,London,Bessy Turpie 2019-12-11
10,El,,Shepstone,53.0,53.12,2019-12-11,London,El Shepstone 2019-12-11
11,Nahum,,Riddock,65.0,65.62,2019-12-11,London,Nahum Riddock 2019-12-11
12,Berni,,Torra,54.0,59.38,2019-12-11,London,Berni Torra 2019-12-11
13,Horten,,Koomar,50.0,56.25,2019-12-11,London,Horten Koomar 2019-12-11
14,Haley,,Chmiel,42.0,46.88,2019-12-11,London,Haley Chmiel 2019-12-11
15,Allina,,Buttfield,57.0,56.25,2019-12-11,London,Allina Buttfield 2019-12-11
16,Mari,,Lotterington,50.0,68.75,2019-12-11,London,Mari Lotterington 2019-12-11
17,Elbertine,,Angliss,45.0,75.0,2019-12-11,London,Elbertine Angliss 2019-12-11
18,Eddie,,Mara,60.0,71.88,2019-12-11,London,Eddie Mara 2019-12-11
19,Willi,,Dibnah,57.0,68.75,2019-12-11,London,Willi Dibnah 2019-12-11
20,Domenic,,Coulter,64.0,59.38,2019-12-11,London,Domenic Coulter 2019-12-11
21,Johnna,,Tarbin,52.0,78.12,2019-12-11,London,Johnna Tarbin 2019-12-11
22,Rhys,,Ayton,41.0,53.12,2019-12-11,London,Rhys Ayton 2019-12-11
23,Riobard,,Collcott,52.0,71.88,2019-12-11,London,Riobard Collcott 2019-12-11
24,Amalia,,Sheppard,56.0,68.75,2019-12-11,London,Amalia Sheppard 2019-12-11
25,Rene,,Stennings,52.0,68.75,2019-12-11,London,Rene Stennings 2019-12-11
26,Piper,,Hawson,56.0,68.75,2019-12-11,London,Piper Hawson 2019-12-11
27,Doretta,,Langdon,58.0,78.12,2019-12-11,London,Doretta Langdon 2019-12-11
28,Imelda,,Fowkes,44.0,75.0,2019-12-11,London,Imelda Fowkes 2019-12-11
29,Claudian,,Copp,47.0,56.25,2019-12-11,London,Claudian Copp 2019-12-11
30,Free,,Simmgen,56.0,46.88,2019-12-11,London,Free Simmgen 2019-12-11
31,Milly,,Hugnin,66.0,68.75,2019-12-11,London,Milly Hugnin 2019-12-11
32,Elissa,,Knowles,50.0,68.75,2019-12-11,London,Elissa Knowles 2019-12-11
0,Zacharias,,Restorick,58.0,68.75,2019-07-11,Birmingham,Zacharias Restorick 2019-07-11
1,Benita,,Enefer,52.0,62.5,2019-07-11,Birmingham,Benita Enefer 2019-07-11
2,Roana,,Sanger,56.0,62.5,2019-07-11,Birmingham,Roana Sanger 2019-07-11
3,Cherrita,,Mcgilleghole,52.0,78.12,2019-07-11,Birmingham,Cherrita Mcgilleghole 2019-07-11
4,Ortensia,,Winscomb,53.0,81.25,2019-07-11,Birmingham,Ortensia Winscomb 2019-07-11
5,Michelle,,Dungee,45.0,62.5,2019-07-11,Birmingham,Michelle Dungee 2019-07-11
6,Lissa,,Pumfrett,59.0,56.25,2019-07-11,Birmingham,Lissa Pumfrett 2019-07-11
7,Hewet,,Derwin,62.0,78.12,2019-07-11,Birmingham,Hewet Derwin 2019-07-11
