,first_name,middle_name,last_name,self_development,geo_flex,financial_support_self,course_interest,internal_id,applicant_day_date,pass,candidate_name
52,Celine,,Doree,True,True,True,Data,52,2019-08-15,True,Celine Doree
53,Karlene,,Hughill,True,True,True,Data,53,2019-08-21,True,Karlene Hughill
54,Sayre,,Webberley,True,True,False,Engineering,54,2019-08-14,False,Sayre Webberley
55,Phyllys,,Baelde,True,True,True,Data,55,2019-08-15,True,Phyllys Baelde
56,Samuele,,Whear,True,False,True,Business,56,2019-08-20,False,Samuele Whear
57,Darcey,,Mordin,True,True,True,Business,57,2019-08-27,True,Darcey Mordin
58,Pamelina,,Itzkovsky,True,True,True,Engineering,58,2019-08-13,True,Pamelina Itzkovsky
59,Laurel,,Gillogley,True,False,True,Engineering,59,2019-08-21,False,Laurel Gillogley
60,Quinta,,Cowdray,True,True,True,Engineering,60,2019-08-28,True,Quinta Cowdray
61,Cecile,,Lates,True,True,True,Engineering,61,2019-08-15,False,Cecile Lates
62,Seumas,,Lemonby,True,True,True,Engineering,62,2019-08-14,True,Seumas Lemonby
63,Gale,,Quartley,True,True,True,Data,63,2019-08-13,True,Gale Quartley
64,Dorrie,,Srutton,False,True,True,Engineering,64,2019-08-22,False,Dorrie Srutton
65,Benny,,Tichelaar,False,False,True,Data,65,2019-08-21,False,Benny Tichelaar
66,Avrit,,Gawith,True,True,True,Business,66,2019-08-15,True,Avrit Gawith
67,Berti,,Dennehy,True,True,True,Data,67,2019-08-22,False,Berti Dennehy
68,Rockey,,Robarts,True,True,True,Engineering,68,2019-08-14,True,Rockey Robarts
69,Eloisa,,Ewert,True,True,False,Business,69,2019-08-21,False,Eloisa Ewert
70,Mireille,,Risom,True,True,True,Data,70,2019-08-21,True,Mireille Risom
71,Sharl,,Daggett,True,True,True,Engineering,71,2019-08-22,True,Sharl Daggett
72,Nikolos,,Yashin,True,True,True,Business,72,2019-08-15,False,Nikolos Yashin
73,Shela,,Mccall,True,True,True,Engineering,73,2019-08-14,False,Shela Mccall
74,Sonnie,,Malenfant,True,True,True,Business,74,2019-08-14,True,Sonnie Malenfant
75,Mahmud,,Molineux,True,True,True,Business,75,2019-08-20,True,Mahmud Molineux
76,Dylan,,Llewellen,True,True,False,Data,76,2019-08-29,False,Dylan Llewellen
77,Yvor,,Phalip,True,True,False,Data,77,2019-08-01,False,Yvor Phalip
78,Berry,,Freed,True,True,True,Business,78,2019-08-29,True,Berry Freed
79,Marielle,,Knivett,True,False,True,Business,79,2019-08-01,False,Marielle Knivett
80,Emmanuel,,Deniske,True,True,True,Data,80,2019-08-15,True,Emmanuel Deniske
81,Kerr,,Coucha,True,True,True,Data,81,2019-08-07,True,Kerr Coucha
82,Dulci,,Mcgrayle,True,True,True,Data,82,2019-08-21,True,Dulci Mcgrayle
83,Shandee,,Blaschke,False,True,True,Engineering,83,2019-08-21,False,Shandee Blaschke
84,Paul,,Chislett,True,True,False,Engineering,84,2019-08-14,False,Paul Chislett
85,Florri,,Loughton,False,True,True,Engineering,85,2019-08-01,False,Florri Loughton
86,Hildy,,Landre,False,True,True,Data,86,2019-08-08,False,Hildy Landre
87,Berny,,Botler,True,True,True,Data,87,2019-08-06,True,Berny Botler
88,Merell,,Tremmil,True,True,True,Engineering,88,2019-08-13,False,Merell Tremmil
89,Ileana,,Chewter,True,True,True,Business,89,2019-08-21,True,Ileana Chewter
90,Ilario,,Yeates,False,True,True,Engineering,90,2019-08-13,False,Ilario Yeates
91,Winnie,,Lewerenz,True,False,True,Business,91,2019-08-06,False,Winnie Lewerenz
92,Garwood,,Strowan,False,True,True,Data,92,2019-08-20,False,Garwood Strowan
93,Herb,,Mcilmorie,True,True,True,Data,93,2019-08-08,True,Herb Mcilmorie
94,Ingunna,,Adin,True,True,True,Data,94,2019-08-01,True,Ingunna Adin
95,Frazier,,Bayston,True,False,True,Data,95,2019-08-29,False,Frazier Bayston
96,Hewett,,Lamputt,True,True,True,Engineering,96,2019-08-13,True,Hewett Lamputt
97,Rodger,,Bendelow,True,True,True,Data,97,2019-08-22,True,Rodger Bendelow
98,Archer,,Hobben,True,True,True,Business,98,2019-08-14,False,Archer Hobben
99,Stephani,,Prettyman,True,True,True,Engineering,99,2019-08-22,True,Stephani Prettyman
100,Pepi,,Bome,True,True,True,Engineering,100,2019-08-20,True,Pepi Bome
101,Loella,,Lonnon,True,True,False,Data,101,2019-08-06,False,Loella Lonnon
102,Darrin,,Stoffel,True,True,True,Business,102,2019-08-08,True,Darrin Stoffel
103,Mitchel,,Bates,True,True,False,Engineering,103,2019-08-14,False,Mitchel Bates
104,Miles,,Water,True,True,True,Business,104,2019-08-08,True,Miles Water
105,Fanni,,Polhill,True,True,True,Engineering,105,2019-08-28,False,Fanni Polhill
106,Genvieve,,Arnke,False,True,True,Business,106,2019-08-22,False,Genvieve Arnke
107,Alicia,,Hruska,True,True,True,Business,107,2019-08-28,True,Alicia Hruska
108,Mella,,Aubin,True,True,True,Data,108,2019-08-15,True,Mella Aubin
109,George,,Huckstepp,False,True,True,Engineering,109,2019-08-06,False,George Huckstepp
110,Joelie,,Elfitt,True,True,False,Business,110,2019-08-29,False,Joelie Elfitt
111,Omar,,Rodrigo,True,False,True,Engineering,111,2019-08-27,False,Omar Rodrigo
112,Cal,,Loache,True,True,True,Business,112,2019-08-15,False,Cal Loache
113,Tully,,Mcdoual,True,True,True,Engineering,113,2019-08-07,True,Tully Mcdoual
114,Molli,,Brayfield,True,True,True,Data,114,2019-08-22,True,Molli Brayfield
115,Janaya,,Mawford,True,True,True,Data,115,2019-08-01,True,Janaya Mawford
116,Lazarus,,Hooke,False,True,True,Data,116,2019-08-29,False,Lazarus Hooke
117,Sidney,,Le Batteur,True,True,True,Data,117,2019-08-08,True,Sidney Le Batteur
118,Maryellen,,Vasovic,True,True,True,Data,118,2019-08-20,True,Maryellen Vasovic
119,Winona,,Rubinowitz,True,True,True,Engineering,119,2019-08-29,True,Winona Rubinowitz
120,Dur,,Plom,True,True,True,Engineering,120,2019-08-14,False,Dur Plom
121,Gisela,,Aisbett,True,True,True,Engineering,121,2019-08-15,True,Gisela Aisbett
122,Appolonia,,Jovis,True,False,False,Business,122,2019-08-29,False,Appolonia Jovis
123,Diandra,,Dyhouse,True,True,True,Business,123,2019-08-27,True,Diandra Dyhouse
124,Cornall,,Offer,True,False,True,Data,124,2019-08-01,False,Cornall Offer
125,Dominique,,Narbett,True,True,True,Business,125,2019-08-20,True,Dominique Narbett
126,Gusti,,Horrod,True,True,True,Data,126,2019-08-27,True,Gusti Horrod
127,Brnaby,,Bownes,True,True,True,Engineering,127,2019-08-01,True,Brnaby Bownes
128,Berky,,Bailey,True,True,True,Business,128,2019-08-28,True,Berky Bailey
129,Harriett,,Saffin,True,True,True,Business,129,2019-08-28,True,Harriett Saffin
130,Pooh,,Christy,True,True,True,Data,130,2019-08-28,True,Pooh Christy
131,Tris,,Landrean,True,True,True,Data,131,2019-08-29,True,Tris Landrean
132,Derk,,Andress,True,True,True,Business,132,2019-08-13,True,Derk Andress
133,Engelbert,,Vahl,True,True,True,Data,133,2019-08-21,True,Engelbert Vahl
134,Prentiss,,Godman,True,True,True,Engineering,134,2019-08-20,False,Prentiss Godman
135,Angel,,Hulson,True,True,True,Business,135,2019-08-14,False,Angel Hulson
136,Mike,,Milliere,True,True,True,Engineering,136,2019-08-06,True,Mike Milliere
137,Gayleen,,Petru,True,True,True,Business,137,2019-08-14,True,Gayleen Petru
138,Jozef,,Burr,True,True,True,Engineering,138,2019-08-07,True,Jozef Burr
139,Allina,,Grelka,True,True,True,Engineering,139,2019-08-28,True,Allina Grelka
140,Carr,,Kensall,True,False,True,Business,140,2019-08-20,False,Carr Kensall
141,Nil,,Macpaike,True,True,True,Business,141,2019-08-06,True,Nil Macpaike
142,Jessie,,Petriello,True,True,True,Engineering,142,2019-08-06,True,Jessie Petriello
143,George,,O'Duane,True,True,True,Data,143,2019-08-06,True,George O'Duane
144,Mendie,,Mcbean,True,True,True,Engineering,144,2019-08-15,True,Mendie Mcbean
145,Roze,,Yepiskopov,True,True,True,Engineering,145,2019-08-21,True,Roze Yepiskopov
146,Boote,,Moan,True,True,True,Business,146,2019-08-20,True,Boote Moan
147,Tito,,Greiswood,True,True,True,Engineering,147,2019-08-20,True,Tito Greiswood
148,Reg,,Vandenhoff,True,True,True,Data,148,2019-08-27,True,Reg Vandenhoff
149,Ravid,,Leyninye,True,True,True,Data,149,2019-08-06,True,Ravid Leyninye
150,Ninetta,,Joyce,True,True,True,Data,150,2019-08-06,True,Ninetta Joyce
151,Rozalin,,Summerscales,True,True,True,Engineering,151,2019-08-28,True,Rozalin Summerscales
152,Rafi,,Andrzejczak,True,False,True,Business,152,2019-08-07,False,Rafi Andrzejczak
153,Mead,,Stolting,True,False,True,Data,153,2019-08-29,False,Mead Stolting
154,Chickie,,Kezar,True,True,False,Business,154,2019-08-21,False,Chickie Kezar
155,Cornall,,Wastall,True,True,True,Engineering,155,2019-08-15,True,Cornall Wastall
156,Carlin,,Stellino,True,True,False,Engineering,156,2019-08-20,False,Carlin Stellino
157,Sherline,,Cudihy,True,True,True,Data,157,2019-08-01,True,Sherline Cudihy
158,Burnard,,Fielden,True,False,True,Data,158,2019-08-21,False,Burnard Fielden
159,Valle,,Humby,True,True,True,Engineering,159,2019-08-21,True,Valle Humby
160,Jillie,,Howles,True,True,False,Data,160,2019-08-27,False,Jillie Howles
161,Chucho,,Galfour,True,True,True,Engineering,161,2019-08-13,True,Chucho Galfour
162,Orland,,Glaisner,True,True,True,Engineering,162,2019-08-13,True,Orland Glaisner
163,Luz,,Gasparro,True,True,True,Engineering,163,2019-08-08,True,Luz Gasparro
164,Melesa,,Mault,True,False,True,Data,164,2019-08-07,False,Melesa Mault
165,Trudie,,Kiellor,True,True,True,Data,165,2019-08-06,True,Trudie Kiellor
166,Nancie,,Sazio,True,True,True,Engineering,166,2019-08-15,True,Nancie Sazio
167,Welby,,Wishkar,True,True,True,Business,167,2019-08-14,False,Welby Wishkar
168,Carce,,Capel,False,True,True,Business,168,2019-08-28,False,Carce Capel
169,Oralia,,Barrat,True,True,True,Data,169,2019-08-27,True,Oralia Barrat
170,Katuscha,,Ransfield,True,False,True,Engineering,170,2019-08-07,False,Katuscha Ransfield
171,Norene,,Fierro,True,False,True,Business,171,2019-08-01,False,Norene Fierro
172,Mylo,,Sudell,True,True,True,Data,172,2019-08-06,True,Mylo Sudell
173,Shannon,,Hartman,True,True,True,Engineering,173,2019-08-21,False,Shannon Hartman
174,Blakeley,,Strood,True,True,True,Data,174,2019-08-06,True,Blakeley Strood
175,Rafi,,Downse,True,True,True,Engineering,175,2019-08-21,True,Rafi Downse
176,Demetrius,,Tunstall,True,True,True,Engineering,176,2019-08-07,True,Demetrius Tunstall
177,Melinde,,Darton,True,True,True,Business,177,2019-08-21,True,Melinde Darton
178,Dulcea,,Perl,True,True,True,Engineering,178,2019-08-22,True,Dulcea Perl
179,Milton,,Conaghan,True,True,True,Engineering,179,2019-08-08,True,Milton Conaghan
180,Chere,,Siddens,False,True,False,Business,180,2019-08-29,False,Chere Siddens
181,Putnem,,Hessing,True,True,True,Data,181,2019-08-08,True,Putnem Hessing
182,Timmi,,Haveline,True,True,True,Business,182,2019-08-22,True,Timmi Haveline
183,Garald,,Banasevich,True,True,True,Data,183,2019-08-08,True,Garald Banasevich
184,Anselma,,Pavelin,True,True,True,Business,184,2019-08-21,False,Anselma Pavelin
185,Querida,,Antonacci,True,True,True,Data,185,2019-08-29,True,Querida Antonacci
186,Leda,,Aharoni,True,True,True,Business,186,2019-08-13,True,Leda Aharoni
187,Norri,,Temby,True,True,True,Engineering,187,2019-08-27,True,Norri Temby
188,Margery,,Winspur,True,True,True,Data,188,2019-08-07,True,Margery Winspur
189,Bord,,Ollin,True,True,False,Business,189,2019-08-14,False,Bord Ollin
190,Dodie,,Lassells,True,True,True,Data,190,2019-08-27,True,Dodie Lassells
191,Corie,,Snodin,True,True,False,Data,191,2019-08-22,False,Corie Snodin
192,Arron,,Cuerdall,True,True,True,Engineering,192,2019-08-08,True,Arron Cuerdall
193,Josh,,Youens,True,True,True,Engineering,193,2019-08-08,True,Josh Youens
194,Aldo,,Bradnum,True,True,True,Engineering,194,2019-08-27,True,Aldo Bradnum
195,Xymenes,,Pretor,True,True,True,Engineering,195,2019-08-07,True,Xymenes Pretor
196,Heinrik,,Allwell,True,True,True,Business,196,2019-08-08,True,Heinrik Allwell
197,Bob,,Rogerson,True,True,True,Data,197,2019-08-07,True,Bob Rogerson
198,Neall,,Mayor,True,True,False,Data,198,2019-08-07,False,Neall Mayor
199,Ilysa,,Kiggel,True,True,True,Data,199,2019-08-07,True,Ilysa Kiggel
200,Melisse,,Craze,True,True,True,Data,200,2019-08-20,False,Melisse Craze
201,Petronille,,Dougharty,False,True,True,Business,201,2019-08-29,False,Petronille Dougharty
202,Urbano,,Reinisch,True,True,True,Engineering,202,2019-08-13,True,Urbano Reinisch
203,Noami,,Edworthye,False,True,True,Business,203,2019-08-20,False,Noami Edworthye
204,Cynthia,,Jenny,True,False,True,Business,204,2019-08-06,False,Cynthia Jenny
205,Ivett,,Prop,True,True,True,Business,205,2019-08-22,True,Ivett Prop
206,Lamond,,Levensky,True,True,True,Data,206,2019-08-13,True,Lamond Levensky
207,Estevan,,Bartalini,True,True,True,Engineering,207,2019-08-21,True,Estevan Bartalini
208,Redford,,Bubbings,False,True,True,Engineering,208,2019-08-15,False,Redford Bubbings
209,Brandais,,Reiner,True,True,True,Business,209,2019-08-22,True,Brandais Reiner
210,Correy,,Clemont,True,False,True,Data,210,2019-08-28,False,Correy Clemont
211,Starr,,Curcher,True,False,True,Business,211,2019-08-15,False,Starr Curcher
212,Rosaline,,Goldsmith,True,True,True,Engineering,212,2019-08-21,True,Rosaline Goldsmith
213,Chancey,,Climer,True,True,True,Business,213,2019-08-27,True,Chancey Climer
214,Gena,,Humbles,True,True,True,Engineering,214,2019-08-29,True,Gena Humbles
215,Madeleine,,Younglove,True,False,True,Engineering,215,2019-08-06,False,Madeleine Younglove
216,Leonerd,,Scamel,False,True,True,Engineering,216,2019-08-08,False,Leonerd Scamel
217,Balduin,,Culleton,True,True,True,Data,217,2019-08-13,False,Balduin Culleton
218,Oliy,,Ellar,True,True,False,Engineering,218,2019-08-13,False,Oliy Ellar
219,Carena,,Nizet,True,True,True,Engineering,219,2019-08-08,True,Carena Nizet
220,Theo,,Ottee,True,True,True,Engineering,220,2019-08-21,True,Theo Ottee
221,Britt,,Summergill,True,True,True,Data,221,2019-08-28,True,Britt Summergill
222,Nial,,Oret,True,False,True,Data,222,2019-08-13,False,Nial Oret
223,Pegeen,,O'Lochan,True,True,False,Business,223,2019-08-15,False,Pegeen O'Lochan
224,Kingsley,,Hardaker,True,True,True,Business,224,2019-08-28,True,Kingsley Hardaker
225,Lorine,,Bignall,True,True,True,Business,225,2019-08-01,False,Lorine Bignall
226,Christian,,Bingley,True,True,True,Data,226,2019-08-13,True,Christian Bingley
227,Ad,,Do,True,True,True,Engineering,227,2019-08-21,True,Ad Do
228,Beret,,Devonside,True,True,False,Business,228,2019-08-15,False,Beret Devonside
229,Denyse,,Weth,True,True,True,Business,229,2019-08-22,True,Denyse Weth
230,Deirdre,,Van Den Velde,True,True,True,Engineering,230,2019-08-01,True,Deirdre Van Den Velde
231,Bevon,,Mustill,False,False,True,Engineering,231,2019-08-15,False,Bevon Mustill
232,Ruthe,,Adolthine,True,True,False,Data,232,2019-08-01,False,Ruthe Adolthine
233,Vaughn,,Wallington,True,True,True,Business,233,2019-08-27,True,Vaughn Wallington
234,Matty,,Ceney,True,True,True,Engineering,234,2019-08-08,True,Matty Ceney
235,Rubia,,Espy,True,True,True,Business,235,2019-08-08,True,Rubia Espy
236,Meridel,,Dearell,True,True,True,Data,236,2019-08-21,True,Meridel Dearell
237,Noelyn,,Sinkin,True,True,True,Business,237,2019-08-21,True,Noelyn Sinkin
238,Mozelle,,Grinnov,True,True,True,Engineering,238,2019-08-20,True,Mozelle Grinnov
239,Christyna,,Arkill,True,True,True,Data,239,2019-08-21,True,Christyna Arkill
240,Kain,,Lowne,True,True,True,Data,240,2019-08-29,True,Kain Lowne
241,Mitchel,,Blackesland,True,True,True,Data,241,2019-08-14,True,Mitchel Blackesland
242,Albie,,Lyon,True,True,True,Data,242,2019-08-22,True,Albie Lyon
243,Farand,,Rotlauf,True,True,True,Engineering,243,2019-08-20,True,Farand Rotlauf
244,Bo,,Fargie,True,True,True,Engineering,244,2019-08-28,True,Bo Fargie
245,Arch,,Cookley,True,False,True,Engineering,245,2019-08-20,False,Arch Cookley
246,Martica,,Cawse,True,True,True,Engineering,246,2019-08-08,True,Martica Cawse
247,Nancie,,Mehaffey,True,True,True,Data,247,2019-08-08,True,Nancie Mehaffey
248,Donnamarie,,Schofield,True,True,True,Data,248,2019-08-15,True,Donnamarie Schofield
249,Erda,,Liddel,True,False,True,Business,249,2019-08-06,False,Erda Liddel
250,Alister,,Bru,True,True,True,Engineering,250,2019-08-07,True,Alister Bru
251,Sigismund,,Izkovici,True,True,True,Engineering,251,2019-08-15,True,Sigismund Izkovici
252,Star,,Jurges,True,True,True,Data,252,2019-08-01,True,Star Jurges
253,Pauly,,Gillbee,True,True,True,Business,253,2019-08-28,True,Pauly Gillbee
254,Stan,,Forkan,True,True,True,Data,254,2019-08-01,False,Stan Forkan
255,Brinn,,Trewhela,True,True,True,Business,255,2019-08-06,True,Brinn Trewhela
256,Rodrigo,,Endrighi,True,True,True,Data,256,2019-08-14,True,Rodrigo Endrighi
257,Tansy,,Dukelow,True,False,True,Engineering,257,2019-08-20,False,Tansy Dukelow
258,Sean,,Ovise,True,True,True,Engineering,258,2019-08-27,True,Sean Ovise
259,Anselma,,Pawlett,True,True,True,Data,259,2019-08-21,True,Anselma Pawlett
260,Kerrie,,Rosi,True,True,True,Business,260,2019-08-22,True,Kerrie Rosi
261,Dorothy,,Hailwood,True,False,True,Business,261,2019-08-15,False,Dorothy Hailwood
262,Jodie,,Kaygill,True,True,True,Data,262,2019-08-01,True,Jodie Kaygill
263,Jim,,Dwerryhouse,True,True,True,Business,263,2019-08-27,True,Jim Dwerryhouse
264,Delinda,,Conybear,True,True,True,Data,264,2019-08-01,True,Delinda Conybear
265,Norby,,Burle,False,False,True,Business,265,2019-08-21,False,Norby Burle
266,Robinet,,Renwick,True,True,True,Business,266,2019-08-15,True,Robinet Renwick
267,Perry,,Richemond,True,True,True,Data,267,2019-08-08,True,Perry Richemond
268,Carlyn,,Reisin,True,True,True,Business,268,2019-08-14,True,Carlyn Reisin
269,Horatius,,Starking,True,True,False,Business,269,2019-08-08,False,Horatius Starking
270,Leoline,,Vigietti,True,True,True,Business,270,2019-08-07,True,Leoline Vigietti
271,Rudolf,,Maple,True,True,True,Data,271,2019-08-21,True,Rudolf Maple
272,Alwin,,Bullman,True,True,True,Data,272,2019-08-07,True,Alwin Bullman
273,Shae,,Ainslie,True,True,True,Business,273,2019-08-15,True,Shae Ainslie
274,Ciel,,Poizer,False,True,True,Business,274,2019-08-14,False,Ciel Poizer
275,Matteo,,Yeowell,True,True,True,Business,275,2019-08-01,True,Matteo Yeowell
276,Saundra,,Fuzzens,True,True,True,Business,276,2019-08-28,False,Saundra Fuzzens
277,Denise,,Oppy,True,True,True,Engineering,277,2019-08-21,True,Denise Oppy
278,Didi,,Stronough,True,True,True,Engineering,278,2019-08-29,True,Didi Stronough
279,Tarrah,,Bunny,True,True,True,Business,279,2019-08-07,True,Tarrah Bunny
280,Bondon,,Josselson,True,False,True,Engineering,280,2019-08-15,False,Bondon Josselson
281,Denny,,Begg,True,True,True,Data,281,2019-08-08,True,Denny Begg
282,Clim,,Lovie,True,True,True,Business,282,2019-08-29,False,Clim Lovie
283,Wolf,,Radolf,True,True,True,Engineering,283,2019-08-08,True,Wolf Radolf
284,Ferrel,,Lissandrini,True,True,True,Business,284,2019-08-29,False,Ferrel Lissandrini
285,Carlos,,Gerckens,True,True,True,Data,285,2019-08-01,True,Carlos Gerckens
286,Blake,,Nunson,True,True,True,Engineering,286,2019-08-01,True,Blake Nunson
287,Paula,,Danielsen,True,True,False,Business,287,2019-08-22,False,Paula Danielsen
288,Brose,,Menghi,True,True,True,Engineering,288,2019-08-06,True,Brose Menghi
289,Junia,,Collins,True,True,True,Data,289,2019-08-29,True,Junia Collins
290,Jule,,Corke,True,True,False,Engineering,290,2019-08-29,False,Jule Corke
291,Matteo,,Cornewell,True,True,True,Business,291,2019-08-27,True,Matteo Cornewell
292,Sid,,Libbie,True,True,False,Engineering,292,2019-08-01,False,Sid Libbie
293,Rhody,,Cushion,True,True,True,Business,293,2019-08-27,True,Rhody Cushion
294,Chester,,Hanselmann,True,True,False,Data,294,2019-08-07,False,Chester Hanselmann
295,Courtney,,Wenman,False,True,True,Engineering,295,2019-08-28,False,Courtney Wenman
296,Vaclav,,Ortler,True,True,True,Data,296,2019-08-20,True,Vaclav Ortler
297,Mariquilla,,Cowope,True,True,True,Business,297,2019-08-14,False,Mariquilla Cowope
298,Joey,,Macgeffen,True,True,True,Data,298,2019-08-14,True,Joey Macgeffen
299,Cora,,Klausewitz,True,True,True,Data,299,2019-08-15,True,Cora Klausewitz
300,Gris,,Brame,True,True,False,Business,300,2019-08-14,False,Gris Brame
301,Berty,,Huban,True,True,True,Business,301,2019-07-18,True,Berty Huban
302,Matthieu,,Dulake,True,True,True,Engineering,302,2019-07-31,True,Matthieu Dulake
303,Darwin,,Sambiedge,True,True,True,Data,303,2019-07-10,False,Darwin Sambiedge
304,Sim,,Bacchus,True,True,True,Data,304,2019-07-23,True,Sim Bacchus
305,Anabal,,Teese,True,False,True,Business,305,2019-07-09,False,Anabal Teese
306,Sybila,,Bragge,True,False,True,Data,306,2019-07-23,False,Sybila Bragge
307,Donalt,,Gummoe,False,True,True,Data,307,2019-07-16,False,Donalt Gummoe
308,Romola,,Coldtart,True,True,True,Data,308,2019-07-17,True,Romola Coldtart
309,Shea,,Chasmoor,True,True,True,Business,309,2019-07-17,False,Shea Chasmoor
310,Nora,,Akers,True,True,True,Engineering,310,2019-07-24,True,Nora Akers
311,Sander,,Rewbottom,True,True,True,Data,311,2019-07-25,True,Sander Rewbottom
312,Francklyn,,Leyninye,True,True,True,Business,312,2019-07-24,True,Francklyn Leyninye
313,Julissa,,Dumbleton,True,True,True,Data,313,2019-07-24,True,Julissa Dumbleton
314,Zacharias,,Restorick,True,True,True,Business,314,2019-07-11,True,Zacharias Restorick
315,Andriana,,Uc,True,True,True,Business,315,2019-07-02,True,Andriana Uc
316,Benita,,Enefer,True,True,True,Data,316,2019-07-11,True,Benita Enefer
317,Isacco,,Teese,True,True,True,Business,317,2019-07-02,True,Isacco Teese
318,Farlee,,Baalham,True,False,True,Data,318,2019-07-16,False,Farlee Baalham
319,Zsa Zsa,,Rounsefull,True,True,True,Data,319,2019-07-16,False,Zsa Zsa Rounsefull
320,Amanda,,Minto,False,True,True,Business,320,2019-07-18,False,Amanda Minto
321,Annie,,Ibbotson,True,False,True,Business,321,2019-07-25,False,Annie Ibbotson
322,Roana,,Sanger,True,False,True,Business,322,2019-07-11,False,Roana Sanger
